"quantity_name","units"
"A","No units found"
"aba_decay_constant","No units found"
"aba_influence_coefficient","No units found"
"absorbed_shortwave","J / (m^2 leaf) / s"
"absorptivity_par","dimensionless"
"acceleration_from_gravity","No units found"
"alpha","mol / mol"
"alpha_rue","dimensionless"
"alpha1","mol / mol"
"alphab1","No units found"
"alphaLeaf","dimensionless"
"alphaRoot","dimensionless"
"alphaSeneLeaf","dimensionless"
"alphaSeneRhizome","dimensionless"
"alphaSeneRoot","dimensionless"
"alphaSeneStem","dimensionless"
"alphaStem","dimensionless"
"Assim","micromol / m^2 / s"
"Assim","micromole / m^2 /s"
"assimilation_adjustment_factor_WS","dimensionless"
"assimilation_carbon_limited","mol / m^2 / s"
"assimilation_gross","mol / m^2 / s"
"assimilation_light_limited","mol / m^2 / s"
"assimilation_net","mol / m^2 / s"
"assimilation_rubisco_limited","mol / m^2 / s"
"atmospheric_co2_concentration","No units found"
"atmospheric_pressure","Pa"
"atmospheric_scattering","dimensionless"
"atmospheric_transmittance","dimensionless"
"average_absorbed_shortwave","J / (m^2 leaf) / s"
"average_absorbed_shortwave_layer_0","J / (m^2 leaf) / s"
"average_absorbed_shortwave_layer_1","J / (m^2 leaf) / s"
"average_absorbed_shortwave_layer_2","J / (m^2 leaf) / s"
"average_absorbed_shortwave_layer_3","J / (m^2 leaf) / s"
"average_absorbed_shortwave_layer_4","J / (m^2 leaf) / s"
"average_absorbed_shortwave_layer_5","J / (m^2 leaf) / s"
"average_absorbed_shortwave_layer_6","J / (m^2 leaf) / s"
"average_absorbed_shortwave_layer_7","J / (m^2 leaf) / s"
"average_absorbed_shortwave_layer_8","J / (m^2 leaf) / s"
"average_absorbed_shortwave_layer_9","J / (m^2 leaf) / s"
"average_incident_ppfd_layer_0","J / (m^2 leaf) / s"
"average_incident_ppfd_layer_1","J / (m^2 leaf) / s"
"average_incident_ppfd_layer_2","J / (m^2 leaf) / s"
"average_incident_ppfd_layer_3","J / (m^2 leaf) / s"
"average_incident_ppfd_layer_4","J / (m^2 leaf) / s"
"average_incident_ppfd_layer_5","J / (m^2 leaf) / s"
"average_incident_ppfd_layer_6","J / (m^2 leaf) / s"
"average_incident_ppfd_layer_7","J / (m^2 leaf) / s"
"average_incident_ppfd_layer_8","J / (m^2 leaf) / s"
"average_incident_ppfd_layer_9","J / (m^2 leaf) / s"
"B","No units found"
"b0","mol / m^2 / s"
"b1","dimensionless"
"ball_berry_intercept","mol / m^2 / s"
"ball_berry_slope","dimensionless from [mol / m^2 / s] / [mol / m^2 / s]"
"ball_berry_slope","dimensionless"
"bb0","mol / m^2 / s"
"bb1","dimensionless"
"beta","dimensionless"
"betaLeaf","dimensionless"
"betaRoot","dimensionless"
"betaSeneLeaf","dimensionless"
"betaSeneRhizome","dimensionless"
"betaSeneRoot","dimensionless"
"betaSeneStem","dimensionless"
"betaStem","dimensionless"
"C","No units found"
"Ca","No units found"
"canopy_assimilation_rate","Mg / ha / hr"
"canopy_assimilation_rate","Mg / ha / hour"
"canopy_conductance","Mg / ha / hr"
"canopy_conductance","mmol / m^2 / hr"
"canopy_conductance","mmol / m^2 / s"
